Sate,Title,Description
1-Jul-07,MAG 3 Across The Street,"<p>Case #0070107</p>
<p>Statement of Amy Patel, regarding the alleged disappearance of her acquaintance Graham Folger.</p>
<p>…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. Even better, leave us a review. The more reviews we get, the more people listen and the more we can make!</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com.</p>"
7-Jan-08,MAG 51 High Pressure,"Case #0080701

Statement of Antonia Hayley, regarding a deep dive that took place near Sable Island, Nova Scotia in August 2006.

…

If you have sound editing experience and want help us make programmes like The Magnus Archives, be sure to send us an email to HR@RustyQuill.com and we'll be in touch very soon.

If you haven't already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.

If you want to get talk with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.

For more information visit www.RustyQuill.com"
10-Feb-08,MAG 106 - A Matter of Perspective,"Case #0081002


Jan Kilbride’s account of his time spent aboard the space station Daedalus. Statement date February 10th 2008.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Michael Rojo, Heath Carter, Katherine Arthur, Kristóf Angyal, Kay Moore, Kirin Tsang, Sara Spielvogel, Pam Winkler, Chris Lawson, Chris Sims


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by James Austin, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;""Melanie King"" - Lydia Nicholas
 - &nbsp;""Basira Hussain"" - Frank Voss
 - &nbsp;""Elias Bouchard"" - Ben Meredith




Sound effects this week by previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;existential horror
 - &nbsp;grief
 - &nbsp;emotional cruelty"
11-Mar-08,MAG 49 The Butcher’s Window,"<p>Case #0081103<br />
Statement of Gregory Pryor regarding his investigations into one Hector Lerado during the summer of 2007.<br />
…</p>
<p>Today’s episode has been sponsored by Failbetter Games, so be sure to check out Fallen London at www.Failbettergames.com/RustyQuill for free actions!</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill.com</p>"
3-Jul-08,MAG 62 - First Edition,"Case #0080307

Statement of Mary Keay, recorded 3rd July 2008. Regarding her first Leitner.

Special thanks to Carrie Cohen as the voice of Mary Keay

Thank you to this week's patrons: James Gibson, Samantha Emery, Elizabeth, Erin Butler, Dominic Zeal, Paul Browning ,Letizia Yemma, Sarah Mainwaring, Corey Nueman, Tyler Reisinger a.k.a Silphius

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by youandbiscuitme and previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
12-Dec-08,MAG 18 The Man Upstairs,"<p>Case #0081212</p>
<p>Statement of Christof Rudenko, regarding his interactions with a first floor resident of Welbeck House, Wandsworth.</p>
<p>…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. Visit Rustyquill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
23-Feb-09,MAG 5 Thrown Away,"<p>Case #0092302</p>
<p>Statement Of Keiran Woodward regarding items recovered from the refuse of 93 Lancaster Rd. Walthamstowe.</p>
<p>…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. Even better, leave us a review. The more reviews we get, the more people listen and the more we can make!</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com.</p>"
3-Mar-09,MAG 97 - We All Ignore The Pit,"#0090303


Statement of Jackson Ellis, regarding the geographical oddities in the town of Bucoda, Washington. Original statement given 3rd March 2009.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Dania Gross, Christine Labrie, Anne Ackermann-Carter, Coco, Joshua Pittman, Gary A Bonilla, Lawrence Taylor, Bradley Beth, Saumya Sankhavaram, Techorb


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


The Archivist is played by Jonathan Sims, Nikola Orsinov is played by Jessica Law.


Sound effects for this episode provided by engreitz, cgeffex, poorenglishjuggler, fillsoko, sturmankin, idalize & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:
 - Claustrophobia
 - Mind-control
 - Earthquake
 - Body horror"
4-Apr-09,MAG 57 Personal Space,"Case #0090404

Statement of Carter Chilcott, regarding their time spent in isolation aboard the Space Station Daedalus in September 2007.

Sound effects for this episode provided by YMB, Omar Alvarado and previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
4/22/2009,MAG 114 - Cracked Foundation,"Case #0092204


Statement of Anya Villette, regarding a cleaning job on Hill Top Road. Original statement given April 22nd, 2009.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Danielle Moyer, Stephen Oglesby, NotAnAlien, Judica, Sarah “Nice Skin You Got There” Clary, Evan Thorne, Rebecca Swaine, Jace Rose, Atara, Chantay Osborne.


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;&nbsp;""The Archivist"" - Jonathan Sims
 - &nbsp;&nbsp;&nbsp;""Tim Stoker"" - Mike LeBeau
 - &nbsp;&nbsp;&nbsp;""Basira Hussain"" - Frank Voss
 - &nbsp;&nbsp;&nbsp;""Alice 'Daisy' Tonner"" - Fay Roberts




Sound effects this week by OrbitalChiller, BehanSean, kforetek & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;&nbsp;  spiders
 - &nbsp;&nbsp;&nbsp;&nbsp;mental instability
 - &nbsp;&nbsp;&nbsp;&nbsp;language
 - &nbsp;&nbsp;&nbsp;&nbsp;body horror"
6-Aug-09,MAG 37 Burnt Offering,"<p>Case #0090608<br />
Statement of Jason North, regarding the discovery of an alleged ritual site found near Loch Glass in Scotland.</p>
<p>…</p>
<p>As Season 1 draws inexorably towards its close remember, we will be hosting an interview at the end of season one and if you let us know any questions you have for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill we will try to read them on the recording.</p>
<p>Also, don’t forget, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us..."
20-Aug-09,MAG 108 - Monologue,"Case #0092008


Statement of Adonis Biros, regarding his performance on stage. Original statement given August 20th 2009.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Cloven Sunfish, Brandon Hamilton, Marco Monteiro, Logan Richman, Wes Adams, Gabrielle LaPlace, Fiona Howat, Allison Green, Erin Rosa, Christopher Sievers


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;""Martin Blackwood"" - Alexander J Newall
 - &nbsp;""Peter Lukas"" - Alasdair Stuart
 - &nbsp;""Basira Hussain"" - Frank Voss




Sound effects this week by previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;stalking
 - &nbsp;knife violence (threatened)
 - &nbsp;violent crimes (discussed)"
20-Oct-09,MAG 72 - Takeaway,"#0092010 

Statement of Craig Goodall, regarding his explorations of an abandoned chicken and kebab shop in Walthamstow. Original statement given 20th October 2009.

Thanks to this week's Patrons: Rachel Reeves, Dakota Jahn, Izzy Peart-Mills, Patrick O'Duffy, Stefan Sipika, Geek, Jen Lucy, Lex Hunter, M J Lacey, Liz Luu

If you'd like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by Maurice_J_K, kyliank, Gorky173 and previously credited artists via freesound.org.

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear."
1-Feb-10,MAG 107 - Third Degree,"Case #0100102


Statement of Howard Ewing, regarding his interview with an unidentified member of British Transport Police. Original statement given February 1st 2010.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Daniel Dietsche, CMS HEX, Wilfred Las Marias, Paigeh3.14, Robert Light, Stu Pollock, Daniel, Camille, Kelsey Wolf, Sarah Kneeshaw


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;""The Archivist"" - Jonathan Sims
 - &nbsp;""Julia Montauk"" - Francesca Renèe Reid
 - &nbsp;""Trevor Herbert"" - Ian Hayles
 - &nbsp;""Max Mustermann"" - Brock Winstead




Sound effects this week by im.kahn Denver, bajko, rempen, moviebuffgavin, klangfabrik, mitchellsounds, conleec, daphne-in-wonderland, bone666138, Kinoton, Chippy569, michorvath, JohnDelayniKIng, J.Zazvurek, EFlexTheSoundDesigner, Caitlin_100, and previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;seizure disorder
 - &nbsp;burning alive
 - &nbsp;heart attack
 - &nbsp;kidnapping
 - &nbsp;gun violence
 - &nbsp;axe violence"
25-Mar-10,MAG 48 Lost in The Crowd,"<p>Case #0100325<br />
Statement of Andrea Nunis, regarding a series of encounters in the streets of Genoa, Italy Original statement given 25th March, 2010.<br />
…</p>
<p>Today’s episode has been sponsored by Failbetter Games, so be sure to check out Fallen London at www.Failbettergames.com/RustyQuill for free actions!</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill.com</p>"
7-Oct-10,MAG 56 Children of the Night,"Case #0100710-B

Continued statement Trevor Herbert, regarding the latter years of his career as a vampire hunter. Original statement given July 10th 2010.

...

If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.

If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.rustyquill.com."
7-Oct-10,MAG 10 Vampire Killer,"<p>Case #0100710</p>
<p>Statement of Trevor Herbert, regarding his life as a self-proclaimed vampire hunter.</p>
<p>…</p>
<p>Thanks again for everyone who has taken the time to subscribe and leave us a review. We have been enjoying our time on the front page of iTunes. Hopefully we can keep the ball rolling and keep you all awake at night…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. Visit Rustyquill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit RustyQuill,com</p>"
18-Nov-10,MAG 69 - Thought for the Day,"#0101811

Statement of Darren Harlow, regarding a failed psychology experiment at the University of Surrey. Original statement given 18th November 2010.
 
Thanks to this week's Patrons: Ross Barlow, Simon Doderer, Heather MacKenzie, Callum Thomas, Amy Barber, Scott Morrison, Rain, Elliott W James, Charles Allen Marable, Kirsty Conrad 

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by Jamitch2, lawnjelly, meggiepie and previously credited artists via freesound.org.

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!"
9-Dec-10,MAG 31 First Hunt,"<p>Case #0100912</p>
<p>Statement of Lawrence Mortimer, regarding his hunting trip to Blue Ridge, Viginia.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Also, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us..."
2-Jan-11,MAG 33 Boatswain’s Call,"<p>Case #0110201</p>
<p>Statement of Carlita Sloane, regarding her work on a container ship travelling from Southampton to Porto do Itaqui.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Also, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br..."
29-May-11,Mag 14 Piecemeal,"<p>Case #0112905</p>
<p>Statement of Lee Rentoul, on the murder of his associate Paul Noriega.</p>
<p>…</p>
<p>Thanks again for all the support from everyone since we launched. All your reviews and recommendations have really had an impact on our launch.</p>
<p>The Magnus Archives is actually registered with the People’s Podcast Awards and they are taking nominations till the end of April. Being nominated would be a huge deal for a small, independent production company like ours so if you take the time to nominate us it would make a massive difference to us.</p>
<p>Just head over to www.podcastawards.com and enter The Magnus Archives under the “Arts” category (and “People’s Choice” category if you are feeling generous. You could even enter our other Podcast Rusty Quill Gaming into the “Games and Hobbies” category while you are there.</p>
<p>Our URL is www.RustyQuill.com and be sure to leave a name and email address to prove you are a real listener. It’s easy and takes less than a minute to fill in the web..."
30-May-11,MAG 20 Desecrated Host II,"<p>Case #0113005-B</p>
<p>Continuation of the statement of Father Edwin Burroughs, regarding his claimed demonic possession.</p>
<p>…</p>
<p>We are happy to announce that The Magnus Archives has been nominated in the Arts category of the 2016 Podcast Awards! Even better, our other podcast Rusty Quill Gaming has also been nominated in the Games and Hobbies category! Thanks to everybody who took the time to nominate us.</p>
<p>Daily voting starts on Sunday the 29th May and continues until Sunday 12th June. That means you can vote for each of our podcasts once a day during that period at www.podcastawards.com.</p>
<p>This system means that a small company like us can still compete if we have fans dedicated enough to take the time to vote every day in that period.</p>
<p>So please do take the time to vote repeatedly as it makes a huge difference. We have lots of exciting projects planned for you down the line but we could make so much more if we were to win an award like this.</p>
<p>Be sure to subscribe using..."
30-May-11,MAG 19 Confession I,"<p>Case #0113005</p>
<p>Statement of Father Edwin Burroughs, regarding his claimed demonic possession.</p>
<p>…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. Visit Rustyquill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
2-Sep-11,MAG 45 Blood Bag,"<p>Case #0110209</p>
<p>Statement of Thomas Neill, regarding his experiences working in malarial research during the spring of 2010. Original statement given February 9th 2011.</p>
<p>…</p>
<p>Special thanks again to Ian Hayles for editing assitance with today’s episode and everyone who watched the charity live stream we participated in for the mental health charity Mind, you help really made a difference.<br />
If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill.com</p>"
13-Nov-11,MAG 112 - Thrill of the Chase,"Case #0111311


Statement of Lisa Carmel, regarding her involvement in a series of murders. Statement number 0111311, 13th November 2011.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Phil Catterall, Seb Wake, Graham Knight, Bradley Renshaw, Cailyn Toomey, Hilary Merline, Ben Plopper, Crowbi, Calacatia, Plunder Duck, Robbie Lyons.


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by James Austin, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;&nbsp;""Basira Hussain"" - Frank Voss
 - &nbsp;&nbsp;""Alice 'Daisy' Tonner"" - Fay Roberts




Sound effects this week by engreitz & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;&nbsp;  knife violence
 - &nbsp;&nbsp;&nbsp;&nbsp;direct violence
 - &nbsp;&nbsp;&nbsp;&nbsp;blood
 - &nbsp;&nbsp;&nbsp;&nbsp;body horror
 - &nbsp;&nbsp;&nbsp;&nbsp;sadism"
1-Jan-12,MAG 113 - Breathing Room,"Case #571-U


Statement of Adelard Dekker, regarding the near death and subsequent activities of Justin Gough. Statement undated, likely circa 2012.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Jessica Huang, Roxanne Rasco, Nightmare Consortium, Cecile Kiil Kirkdale, Hale, William Peregrine.


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by James Austin, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;&nbsp;""The Archivist"" - Jonathan Sims
 - &nbsp;&nbsp;""Martin Blackwood"" - Alexander J Newall
 - &nbsp;&nbsp;""Melanie King"" - Lydia Nicholas




Sound effects this week by Abro, FractalStudios, PMBrowne, Timmeh515, jeffdutton10, Fugeni, Reitanna, rodincoil, Spooky modem, Podsburg, dr maysta & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;&nbsp;blood
 - &nbsp;&nbsp;poisoning
 - &nbsp;&nbsp;undead
 - &nbsp;&nbsp;sharp object violence"
11-Feb-12,MAG 12 First Aid,"<p>Case #0121102</p>
<p>Statement of Lesere Saraki, regarding a recent night-shift at St. Thomas Hospital, London .</p>
<p>…</p>
<p>Thanks again for everyone who has taken the time to subscribe and leave us a review. We have been enjoying our time on the front page of iTunes. And for anyone who hasn’t yet, please do take the time. We are a small, independent company and these recommendations are the best way to help us out.</p>
<p>As a thank you, for the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. Visit Rustyquill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at..."
14-Mar-12,MAG 110 - Creature Feature,"Case #0121403


Martin Blackwood, Archival Assistant at the Magnus Institute, recording statement number 0121403, statement of Alexia Crawley, given March 14th 2012.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Mark Spark, Brandon Chappell, Florence Azé, Gilligan Mungus, Emilia Hoyos, Edward PETER DELMONICO, Liam Heigis, Sean & Miranda Goodell, Daniel Armenti, Peter Larson


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.




Performances:
 - &nbsp;&nbsp;""Martin Blackwood"" - Alexander J Newall
 - &nbsp;&nbsp;&nbsp;""Basira Hussain"" - Frank Voss
 - &nbsp;&nbsp;&nbsp;""Melanie King"" - Lydia Nicholas




Sound effects this week by previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:
 - &nbsp;&nbsp;  trans discrimination
 - &nbsp;&nbsp;&nbsp;&nbsp;spiders
 - &nbsp;&nbsp;&nbsp;&nbsp;human corpses"
22-Apr-12,MAG 1 Angler Fish,"<p>Case #0122204</p>
<p>Statement of Nathan Watts, regarding an encounter on Old Fishmarket Close, Edinburgh .</p>
<p>…</p>
<p>The Magnus Archives are now open…</p>
<p>Join Head Archivist Jonathan Sims as he begins his work transcribing the archives of the Magnus Institute. An organisation dedicated to the investigation of the esoteric and weird.</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe to us on your podcast software of choice to get every episode automatically downloaded straight to your device. It’s more convenient for you and really helps us out. Even better, leave us a review! The more we get the more programming we can make!</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit..."
6-Jun-12,MAG 38 Lost and Found,"<p>Case #0120606</p>
<p>Statement of Andre Ramao, regarding a series of misplaced objects lost over the course of three month. Original statement given June 6th 2012.</p>
<p>…</p>
<p>This is your last chance to submit a question to writer/narrator Jonathan Sims before we record our Season 1 interview. If you want to do so, get in contact using the details below.</p>
<p>Also, don’t forget, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com..."
19-Nov-12,MAG 36 Taken ill,"<p>Case #0121911<br />
Statement of Nicole Baxter, regarding visits culminating in the fire that consumed Ivy Meadows Care Home in Woodley, Greater Manchester.</p>
<p>…</p>
<p>As Season 1 draws inexorably closer towards its close remember, any questions you have for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill should be posted to our forums at www.RustyQuill.com. We will be hosting an interview at the end of season one and all the best questions will be read on the recording.</p>
<p>Also, don’t forget, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and..."
11-Mar-13,MAG 42 Grifter’s Bone,"<p>Case #0131103</p>
<p>Statement of Jennifer Ling, regarding a live musical performance she attended in Soho. Original statement given November 3rd 2013.</p>
<p>…</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill</p>"
23-Jun-13,MAG 54 Still Life,"Case #0132306

Statement of Alexander Scaplehorn regarding his evaluation of The Trophy Room taxidermists in Barnet.

...

If you have sound editing experience and want help us make programmes like The Magnus Archives, be sure to send us an email to HR@RustyQuill.com and we’ll be in touch very soon.

If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.

If you want to get talk with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.

For more information visit www.RustyQuill.com"
28-Jun-13,MAG 4 Page Turner,"<p>Case #0132806</p>
<p>Statement of Dominic Swain regarding a book briefly in his possession in the winter of 2012.</p>
<p>…</p>
<p>If you intend to leave a review but haven’t already please do so! We are an independent production company without a major marketing budget so these reviews are the main way people come to find our work.</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. </p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com.</p>"
